거래금액,아파트,월,일,전용면적,층
6,500,동산백조,11,1,62.74,6
8,000,동산그린타워,11,1,58.7,5
18,800,대진로얄,11,2,82.93,9
9,500,동산그린타워,11,4,58.7,4
17,800,동산그린타워,11,8,84.58,2
13,300,동산그린타워,11,10,59.51,6
13,000,동산그린타워,11,14,59.51,4
18,800,한신,11,14,59.85,10
19,000,한신,11,16,59.85,11
13,800,서린에코빌아파트,11,17,61.935,2
28,000,한신,11,27,84.985,20
35,000,한신,11,29,99.9,14
6,500,동호그린빌라,11,29,50.54,5
17,000,부전타워,11,2,78.83,8
24,850,태영,11,3,84.975,7
18,000,부전타워,11,6,84.505,11
9,500,전원그린맨션B동,11,6,56.86,1
17,500,태영,11,8,59.75,13
20,000,리츠빌리지,11,10,77.1024,3
12,200,문화그린맨션,11,10,59.91,1
17,450,태영,11,12,59.75,7
16,500,태영,11,14,59.75,19
23,000,태영,11,16,84.975,7
22,800,태영,11,23,84.975,3
11,800,가화랜드빌,11,27,52.9649,3
14,000,전원그린맨션A,11,27,84.9,4
17,080,태영,11,29,59.75,6
23,000,서부주공,11,1,59.83,11
17,800,서부주공,11,3,59.92,1
23,200,서부주공,11,12,59.83,15
22,400,서부주공,11,13,59.83,2
14,500,이진테마빌,11,22,59.0604,11
12,700,이진테마빌,11,28,51.2689,17
16,200,에코하임기장,11,3,49.2452,2
26,700,대라주공,11,4,47.1,1
15,500,이진캐스빌,11,6,49.2,6
8,200,수신,11,6,47.18,2
19,700,이진캐스빌,11,6,59.91,8
22,050,센트리움기장,11,8,56.5289,4
27,456,동부산어반리움,11,8,71.95,7
15,500,한평드림빌,11,12,84.78,3
15,100,가화만사성4차,11,13,56.3137,6
16,500,페리A동,11,13,84.2625,6
27,650,센트리움기장,11,15,67.037,12
13,500,모드니하이츠,11,15,50.9627,12
17,400,팰리스빌1,11,21,81.56,4
15,000,이진캐스빌,11,24,49.2,7
10,800,금강궁전,11,24,58.38,12
22,000,대라주공,11,26,39.72,1
