학교명,날짜,메뉴,칼로리
구암중학교,20231101,참치야채비빔밥** (5.16.18)<br/>타르트** (1.2.5.6.14)<br/>부추계란국** (1.5.6.9)<br/>블루베리샐러드** (1.2.5.11.13)<br/>배추김치** (9)<br/>초고추장 (5.6.13)<br/>요구르트** (2),707.5 Kcal
구암중학교,20231102,현미찹쌀밥 <br/>냉파스타샐러드** (1.2.5.6.12.13)<br/>멸치크랜베리볶음** (5.6.13)<br/>파닭** (4.5.6.13.15)<br/>깍두기** (9)<br/>아이스슈2** (1.2.5.6)<br/>짜글이찌개** (1.2.5.6.9.10.15.16),914.9 Kcal
구암중학교,20231103,옥수수밥 <br/>고디국** (5.6.9)<br/>통배추겉절이** (5.6.13)<br/>쟁반국수** (3.4.5.6.13)<br/>왕족발** (1.5.6.10)<br/>양파장아찌** (5.6.13)<br/>아이스크림** (1.2.5)<br/>씨앗쌈장** (5.6.13),739.6 Kcal
구암중학교,20231106,찰보리밥 <br/>꽃게된장국** (5.6.8.9)<br/>동인동찜갈비** (5.6.10.13)<br/>궁중잡채** (1.5.6.10.13.16)<br/>진미채볶음** (5.6.13.17)<br/>오이김치** (13)<br/>주스 (2.13),903.3 Kcal
구암중학교,20231107,현미밥 <br/>쇠고기버섯찌개** (5.6.9.16)<br/>찐만두 (1.2.5.6.10.16.18)<br/>쑥갓애느타리무침** (5.6)<br/>누들짜장떡볶이** (1.2.5.6.13.16)<br/>백김치** (9)<br/>배 ,608.4 Kcal
구암중학교,20231108,비빔밥2** (5.6)<br/>재첩국** (9.18)<br/>쇠고기고추장볶음** (5.6.13.16)<br/>고구마맛탕** (5.13)<br/>계란후라이 (1.2.5.9)<br/>빵2** (1.2.5.6.10.13.15.16)<br/>깍두기** (9)<br/>유기농식혜 (13),686.0 Kcal
구암중학교,20231109,찰흑미밥 <br/>홍합미역국** (5.6.9.18)<br/>우엉땅콩조림** (4.5.6.13)<br/>마파두부** (5.6.10.12.13.18)<br/>꿔바로우/발사믹소스** (1.2.5.6.10.13.15)<br/>배추김치** (9)<br/>개별떡 (6),1009.6 Kcal
구암중학교,20231110,곤드레밥** (5.6.9.10.16)<br/>크래미게살죽** (1.5.6.8)<br/>바게트프렌치토스트** (1.2.5.6.13)<br/>오징어야채무침** (4.5.6.13.17)<br/>총각김치** (9)<br/>매콤돈까스소스** (1.2.5.6.12.13.16)<br/>귤 <br/>치킨카츠** (1.2.5.6.10.12.13.15),758.6 Kcal
구암중학교,20231113,할맥밥 <br/>미니붕어빵** (1.2.5.6)<br/>감자아욱국** (5.6.9)<br/>편육** (5.6.9.10)<br/>상추쌈** (5.6.13)<br/>핫바** (1.2.5.6)<br/>배추김치** (9),881.2 Kcal
구암중학교,20231114,홍국쌀밥** <br/>오징어무국** (5.6.9.17)<br/>삼색나물2** (5.6)<br/>약선오리불고기** (5.6.13)<br/>감자전** (5.6)<br/>깍두기** (9)<br/>골드파인애플조각 ,814.2 Kcal
구암중학교,20231115,오므라이스** (1.2.5.6.10.12.13.15.16.18)<br/>빵3** (1.2.5.6)<br/>들깨무채국** (5.6.9)<br/>양념어묵** (1.5.6.13)<br/>해쉬브라운** (1.2.5.6.9.12)<br/>배추김치** (9),853.5 Kcal
