학교명,날짜,학년,반,교시,과목
구암중학교,20231102,1,1,1,과학
구암중학교,20231102,1,1,2,사회
구암중학교,20231102,1,1,3,(자)주제선택활동
구암중학교,20231102,1,1,4,(자)주제선택활동
구암중학교,20231102,1,1,5,국어
구암중학교,20231102,1,1,6,수학
구암중학교,20231102,1,1,7,기술·가정
구암중학교,20231102,1,10,1,기술·가정
구암중학교,20231102,1,10,2,도덕
구암중학교,20231102,1,10,3,(자)진로탐색활동
구암중학교,20231102,1,10,4,(자)주제선택활동
구암중학교,20231102,1,10,5,정보
구암중학교,20231102,1,10,6,국어
구암중학교,20231102,1,10,7,체육
구암중학교,20231102,1,11,1,과학
구암중학교,20231102,1,11,2,음악
구암중학교,20231102,1,11,3,정보
구암중학교,20231102,1,11,4,사회
구암중학교,20231102,1,11,5,도덕
구암중학교,20231102,1,11,6,수학
구암중학교,20231102,1,11,7,국어
구암중학교,20231102,1,12,1,(자)주제선택활동
구암중학교,20231102,1,12,2,수학
구암중학교,20231102,1,12,3,도덕
구암중학교,20231102,1,12,4,체육
구암중학교,20231102,1,12,5,(자)동아리활동
구암중학교,20231102,1,12,6,과학
구암중학교,20231102,1,12,7,국어
구암중학교,20231102,1,13,1,영어
구암중학교,20231102,1,13,2,(자)주제선택활동
구암중학교,20231102,1,13,3,음악
구암중학교,20231102,1,13,4,수학
구암중학교,20231102,1,13,5,(자)동아리활동
구암중학교,20231102,1,13,6,체육
구암중학교,20231102,1,13,7,과학
구암중학교,20231102,1,14,1,체육
구암중학교,20231102,1,14,2,영어
구암중학교,20231102,1,14,3,국어
구암중학교,20231102,1,14,4,음악
구암중학교,20231102,1,14,5,(자)동아리활동
구암중학교,20231102,1,14,6,(자)주제선택활동
구암중학교,20231102,1,14,7,수학
구암중학교,20231102,1,2,1,영어
구암중학교,20231102,1,2,2,수학
구암중학교,20231102,1,2,3,(자)주제선택활동
구암중학교,20231102,1,2,4,(자)주제선택활동
구암중학교,20231102,1,2,5,체육
구암중학교,20231102,1,2,6,(자)진로탐색활동
구암중학교,20231102,1,2,7,과학
구암중학교,20231102,1,3,1,(자)주제선택활동
구암중학교,20231102,1,3,2,정보
구암중학교,20231102,1,3,3,체육
구암중학교,20231102,1,3,4,영어
구암중학교,20231102,1,3,5,음악
구암중학교,20231102,1,3,6,과학
구암중학교,20231102,1,3,7,수학
구암중학교,20231102,1,4,1,기술·가정
구암중학교,20231102,1,4,2,(자)주제선택활동
구암중학교,20231102,1,4,3,도덕
구암중학교,20231102,1,4,4,수학
구암중학교,20231102,1,4,5,국어
구암중학교,20231102,1,4,6,사회
구암중학교,20231102,1,4,7,음악
구암중학교,20231102,1,5,1,체육
구암중학교,20231102,1,5,2,영어
구암중학교,20231102,1,5,3,국어
구암중학교,20231102,1,5,4,기술·가정
